Property_URL,Address,Postcode,Description,Date_Listed,Bedrooms,Asking_Price,Last_Sold_Price,Last_Sold_v_Asking_Price,Last_Sold_Date,Tenure,Agent,Agent_Address,Agent_Phone_Number
https://www.rightmove.co.uk/property-for-sale/property-75004010.html,"Marlborough Wharf, Marlborough Grove, York, YO10",YO10 4AX,2 bedroom apartment,16 August 2018,2,410000,,,,Leasehold,"Carter Jonas, York",,01904 200062
https://www.rightmove.co.uk/property-for-sale/property-55342203.html,11 Academy Drive Tadcaster Road York YO24 1UJ,YO24 1UJ,6 bedroom detached house,11 July 2018,6,550000,,,,Freehold,"Naish Estate Agents & Solicitors, York",,01904 200041
https://www.rightmove.co.uk/property-for-sale/property-75299393.html,"Minster Close, Wigginton, York",YO32 2GP,2 bedroom bungalow,19 November 2018,2,215000,,,,,"Stephensons, Haxby",,01904 200060
https://www.rightmove.co.uk/property-for-sale/property-75537278.html,"Beckside Gardens, Melrosegate",YO10 3TX,2 bedroom apartment,11 September 2018,2,160000,110000,50000,2010,Leasehold,"Linley and Simpson incorporating Coalters, York - Sales",,01904 200104
https://www.rightmove.co.uk/property-for-sale/property-76693604.html,"Beech Way, Upper Poppleton",YO26 6JD,3 bedroom detached house,26 October 2018,3,475000,395000,80000,2016,Freehold,"Linley and Simpson incorporating Coalters, York - Sales",,01904 200104
https://www.rightmove.co.uk/property-for-sale/property-77136710.html,"Moatfield, Osbaldwick, York",YO10 3PT,3 bedroom semi-detached house,14 November 2018,3,285000,192500,92500,2012,Freehold,"Ashtons Estate Agents, York City",,01904 200093
https://www.rightmove.co.uk/property-for-sale/property-75697400.html,"Walker Drive, York",YO24 3NE,2 bedroom bungalow,17 September 2018,2,200000,35000,165000,1999,,"YOPA, National",,01303 473360
https://www.rightmove.co.uk/property-for-sale/property-76408871.html,"St. Oswalds Road, York, YO10",YO10 4FA,4 bedroom detached house,16 October 2018,4,POA,,,,Freehold,"Carter Jonas, York",,01904 200062
https://www.rightmove.co.uk/property-for-sale/property-76750358.html,"Alcuin Avenue, Tang Hall, York, YO10 3TR",YO10 3TR,2 bedroom town house,29 October 2018,2,185000,134000,51000,2007,,"Hudson Moody, Micklegate",,01904 200036
https://www.rightmove.co.uk/property-for-sale/property-75362801.html,"The Residence, Bishopthorpe Road, York, YO23",YO23 1DQ,2 bedroom apartment,03 September 2018,2,435500,,,,,"Carter Jonas, York",,01904 200062
https://www.rightmove.co.uk/property-for-sale/property-55774179.html,"The Mount, York",YO24 1DU,4 bedroom semi-detached house,31 July 2018,4,699950,,,,,"Ashtons Estate Agents, York City",,01904 200093
https://www.rightmove.co.uk/property-for-sale/property-76506728.html,"Prices Lane, York, YO23 1AL",YO23 1AL,3 bedroom terraced house,19 October 2018,3,250000,185000,65000,2012,,"Hudson Moody, Micklegate",,01904 200036
https://www.rightmove.co.uk/property-for-sale/property-67340635.html,"Anthea Drive, Huntington, York, YO31",YO31 9DB,2 bedroom semi-detached bungalow,05 September 2018,2,190000,,,,,"Reeds Rains , York",,01904 200042
https://www.rightmove.co.uk/property-for-sale/property-57846027.html,"Clarence Street, York YO31",YO31 7EW,1 bedroom flat,06 November 2018,1,159000,,,,,"York Property Shop, York",,07865 081333
https://www.rightmove.co.uk/property-for-sale/property-67400686.html,"Ramsey Avenue, Bishopthorpe, York",YO23 2SQ,2 bedroom semi-detached bungalow,07 September 2018,2,195000,157000,38000,2011,Freehold,"Y Homes, York",,01904 200070
https://www.rightmove.co.uk/property-for-sale/property-56773989.html,"Granary Cottage, Roecliffe Court, Hessay, York",YO26 8LD,3 bedroom detached house,25 September 2018,3,395000,300000,95000,2006,,"Hudson Moody, Poppleton",,01904 200038
https://www.rightmove.co.uk/property-for-sale/property-76621847.html,"Fairfax Court, Acomb Road, York",YO24 4HS,1 bedroom apartment,23 October 2018,1,135000,,,,Leasehold,"Ashtons Estate Agents, York City",,01904 200093
https://www.rightmove.co.uk/property-for-sale/property-76614845.html,"Ouse Lea, Shipton Road, YORK",YO30 6SA,2 bedroom terraced house,23 October 2018,2,235000,47500,187500,1998,Leasehold,"Ashtons Estate Agents, York City",,01904 200093
https://www.rightmove.co.uk/property-for-sale/property-77199686.html,"Greencliffe Drive, YORK",YO30 6NA,3 bedroom detached house,16 November 2018,3,600000,340000,260000,2011,Freehold,"Ashtons Estate Agents, York City",,01904 200093
https://www.rightmove.co.uk/property-for-sale/property-68119915.html,"Waterside Gardens, York, YO31 9BF",YO31 9BF,4 bedroom town house,23 October 2018,4,325000,249465,75535,2005,Freehold,"Hunters, York",,01904 200050
https://www.rightmove.co.uk/property-for-sale/property-68124373.html,"Huntington Road, York, YO31",YO31 8RQ,1 bedroom flat,23 October 2018,1,142000,,,,,"YOUR MOVE  Anscombs, York",,01904 200034
https://www.rightmove.co.uk/property-for-sale/property-75561269.html,"Seventh Avenue, York",YO31 0TZ,Studio flat,11 September 2018,Studio,120000,,,,,"YOPA, National",,01303 473360
https://www.rightmove.co.uk/property-for-sale/property-76635317.html,"Millfield Lane, Nether Poppleton",YO26 6NB,4 bedroom detached house,24 October 2018,4,359995,340000,19995,2016,Freehold,"Linley and Simpson incorporating Coalters, York - Sales",,01904 200104
https://www.rightmove.co.uk/property-for-sale/property-76605818.html,"Mendip Close, York, North Yorkshire, YO32",YO32 9RR,3 bedroom semi-detached house,23 October 2018,3,240000,185000,55000,2010,Freehold,"Chestnut Solutions Property Specialists, York",,01904 200004
https://www.rightmove.co.uk/property-for-sale/property-76635248.html,Fishergate,YO10 4AB,1 bedroom apartment,24 October 2018,1,175000,119995,55005,2005,Leasehold,"Linley and Simpson incorporating Coalters, York - Sales",,01904 200104
https://www.rightmove.co.uk/property-for-sale/property-76635842.html,"Ouse Lea, Shipton Road, YORK",YO30 6SA,2 bedroom duplex,23 October 2018,2,245000,215000,30000,2016,Leasehold,"Ashtons Estate Agents, York City",,01904 200093
https://www.rightmove.co.uk/property-for-sale/property-75113213.html,"Kestrel Wood Way, Huntington, York",YO31 9EQ,2 bedroom semi-detached bungalow,22 August 2018,2,210000,145000,65000,2004,,"Ashtons Estate Agents, York City",,01904 200093
https://www.rightmove.co.uk/property-for-sale/property-68149396.html,"CAROUSEL HOUSE at The Chocolate Works,York, Campleshon Road, 
South Bank, YORK, 
YO23 1EY",YO23 1EY,2 bedroom house,25 October 2018,2,344995,,,,,David Wilson Homes,,01904 200143
https://www.rightmove.co.uk/property-for-sale/property-64526680.html,"Park Street, York, YO24",YO24 1BQ,5 bedroom terraced house,17 March 2018,5,645000,595000,50000,2014,Freehold,"Savills, York",,01904 200057
